,Unnamed: 0,First,Second,Count
604,604,ЯСНИ,ТОНОВЕ,201
606,606,може,да,200
607,607,по,долни,200
609,609,отслабено,в,200
613,613,цикатрикс,по,197
615,615,големина,на,196
618,618,стени,неболезнен,195
620,620,РСД,глухи,195
621,621,двустранно,без,195
624,624,под,нивото,194
629,629,СС,риск,193
630,630,с-ма,б.о,193
632,632,сонорен,перкуторен,193
633,633,чисти,тонове,193
640,640,болка,и,191
641,641,палпаторно,не,191
644,644,дясна,ръка,188
645,645,норма,долавя,188
646,646,органи,б.о,188
650,650,под,ребрената,187
651,651,НЕ,СЕ,186
655,655,на,ляво,184
658,658,б.о,ГЛАВА,184
659,659,крайници,запазени,184
660,660,дистален,тип,184
662,662,двигателен,апарат,184
665,665,коремни,органи,182
667,667,да,се,182
668,668,болезненост,по,182
670,670,небни,дъги,182
673,673,без,шум,181
675,675,на,десен,180
676,676,не,може,180
678,678,влажен,необложен,180
681,681,неболезнен,запазена,180
682,682,консултация,с,179
683,683,на,дясно,178
685,685,патологични,рефлекси,178
687,687,намалена,сетивност,178
689,689,ДИШАНЕ,БЕЗ,177
693,693,не,е,176
696,696,корем,б.о,176
698,698,КРАЙНИЦИ,БЕЗ,176
699,699,на,крайниците,175
700,700,оток,и,175
701,701,ниво,на,175
702,702,и,ясни,175
704,704,тонове,акцентуиран,174
706,706,в,кръста,173
707,707,риск,(,173
710,710,резекция,на,172
715,715,за,изписване,171
716,716,бял,дроб,171
719,719,двустранно,нормофреквентно,171
720,720,на,лявата,170
723,723,контролен,преглед,169
724,724,физиологична,перисталтика,169
725,725,пулс,у,169
726,726,В,добро,168
727,727,и,по,168
728,728,на,действителната,168
730,730,без,промяна,167
731,731,тремор,на,167
732,732,коленни,и,167
733,733,акцентуиран,А,167
734,734,ПЛВ,б.о,167
736,736,без,палпаторна,166
739,739,цветоусещане,нормално,165
740,740,самоизследване,на,165
741,741,и,щитовидна,165
743,743,колянна,става,164
745,745,палпират,уголемени,164
746,746,възли,неувеличени,163
747,747,СЛЕЗКА,б.о,163
748,748,б.о,ССС,163
753,753,дишане,ясен,162
756,756,палпира,увеличен,161
759,759,б.о,СЛУХ,160
760,760,СТАТУС,б.о,160
761,761,ПЛВ,неувеличени,160
762,762,срединна,лапаротомия,160
764,764,промяна,в,159
766,766,от,болки,158
767,767,вибрационен,усет,158
768,768,чисти,и,158
769,769,cm,СС,158
770,770,отоци,със,158
771,771,дишане,РСД,158
773,773,ТОНЗИЛИ,б.о,157
775,775,патологични,формации,157
776,776,глуховати,тонове,157
781,781,КОРЕМ,б.о,156
782,782,б.о,ПИКОЧО-ПОЛОВО,156
783,783,неувеличени,ОДА,156
784,784,мекоеластични,стени,156
787,787,за,хоспитализация,155
788,788,анус,претер,155
789,789,отдел,на,155
790,790,повече,в,155
791,791,жлези,без,155
793,793,вез.дишане,с,155
795,795,патологични,шумове,154
798,798,щит,жлеза,153
799,799,жлеза,и,153
800,800,б.о,ЕЗИК,153
805,805,ляв,тип,153
807,807,се,на,152
808,808,двете,очи,152
809,809,отоци,на,152
810,810,РСД,без,152
812,812,дишане,ритмична,152
818,818,добавени,шумове,151
819,819,и,ограничени,150
821,821,БЕЗ,ХРИПОВЕ,150
825,825,апарат,б.о,150
830,830,на,лекарства,149
834,834,без,патолог,148
836,836,се,с,147
838,838,ВЪЗЛИ,б.о,147
839,839,тонове,с,147
842,842,от,срединна,147
843,843,СПЕЦ.СТАТУС,без,147
844,844,част,на,146
845,845,статус,норма,146
848,848,и,слух,146
849,849,зрителна,острота,145
850,850,цветоусещане,в,145
851,851,дъга,ОПОРНО-ДВИГ.АПАРАТ,145
852,852,лява,ръка,144
853,853,на,подбедриците,144
856,856,пулс,на,144
858,858,пулсации,и,144
859,859,респираторна,подвижност,144
861,861,оперативно,лечение,143
862,862,еднакво,участие,143
864,864,с,меки,143
865,865,а,РСД,142
867,867,статус,ЧМН,142
869,869,РИТМИЧНА,СЪРДЕЧНА,142
871,871,запазено,общо,141
873,873,ДРОБ,отслабено,140
874,874,лигавици,чисти,140
878,878,изследване,на,139
879,879,спокоен,без,139
880,880,периферни,вени,139
883,883,коремни,стени,139
885,885,отслабено,дишане,138
888,888,неболезнен,черен,138
890,890,дейност,нормофреквентна,138
891,891,на,кожата,137
892,892,на,шията,137
893,893,по,кожата,137
895,895,и,в,137
897,897,дишане,сухи,137
901,901,хрипове,СЪРЦЕ,137
903,903,правилен,ритъм,137
905,905,и,болка,136
906,906,ОБЩО,СЪСТОЯНИЕ,136
909,909,КОЖА,И,136
910,910,реналис,отрицателно,136
914,914,на,дясната,135
915,915,на,ляв,135
917,917,б.о,СПЕЦ.СТАТУС,135
918,918,сухожилни,рефлекси,135
919,919,съдове,б.о,135
921,921,СЪРЦЕ,РСД,135
923,923,и,пасивни,134
924,924,е,с,134
925,925,с,отоци,134
926,926,на,магистрални,134
927,927,с,очила,134
929,929,без,отпадна,134
931,931,отрицателно,двустранно,134
933,933,статус,РСД,134
938,938,обем,на,133
942,942,меко-еластичен,спокоен,133
943,943,лява,подбедрица,132
945,945,цикатрикс,спокоен,132
949,949,се,оплаква,131
951,951,ориентирана,за,131
952,952,на,млечни,131
956,956,състояние,БЯЛ,131
957,957,състояние,след,130
958,958,на,двата,130
961,961,ДС,симетричен,130
969,969,на,корема,129
970,970,постоперативен,цикатрикс,129
971,971,без,претибиални,129
973,973,и,еластичност,129
975,975,СЕ,ПАЛПИРАТ,129
979,979,липсва,палпаторна,129
980,980,система,б.о,128
984,984,не,увеличен,128
985,985,без,ХСМ,128
986,986,кожата,на,127
992,992,мек,липсва,127
994,994,върха,и,127
995,995,и,лимфни,127
997,997,с,дребни,126
998,998,б.о,крайници,126
999,999,и,периферни,126
1000,1000,под,ребрена,126
1004,1004,дясна,подбедрица,125
1007,1007,двете,белодробни,125
1009,1009,с,ясни,125
1012,1012,и,щит,125
1013,1013,гръдни,половини,125
1015,1015,лесна,умора,124
1017,1017,добре,напълнен,124
1021,1021,органи,не,124
1022,1022,статус,нормална,124
1024,1024,пасивни,движения,123
1025,1025,и,на,123
1027,1027,коремна,стена,123
1028,1028,СЛЕЗКА,на,123
1029,1029,б.о,корем,123
1031,1031,спокоен,неболезнен,123
1038,1038,промени,в,122
1039,1039,и,собствена,122
1040,1040,ДРОБ,симетричен,122
1041,1041,болезнен,по,122
1048,1048,ритъм,честота,122
1050,1050,по,целия,121
1051,1051,собствена,личност,121
1052,1052,кош,сонорен,121
1056,1056,оплаква,от,120
1058,1058,вид,лигавици,120
1060,1060,подвижна,при,120
1061,1061,трофични,промени,119
1066,1066,без,видими,119
1068,1068,магистрални,съдове,119
1071,1071,около,пъпа,118
1075,1075,движения,на,118
1076,1076,ритъм,ляв,118
1077,1077,кош,с,118
1078,1078,ФР,КОРЕМ,118
1080,1080,активни,и,117
1081,1081,при,преглъщане,117
1083,1083,палпира,увеличена,117
1084,1084,от,дистален,117
1089,1089,оплаквания,от,116
1090,1090,двете,коленни,116
1091,1091,състояние,кожа,116
1092,1092,хипестезия,за,116
1093,1093,се,установяват,115
1095,1095,дроб,б.о,115
1098,1098,неболезнен,крайници,115
1100,1100,ясни,без,115
1101,1101,ритмична,СД,115
1102,1102,контрол,на,114
1103,1103,б.о,ОПОРНО-ДВИГ.АПАРАТ,114
1105,1105,неувеличена,подвижна,114
1108,1108,от,болка,113
1109,1109,с,леко,113
1113,1113,белодробни,основи,113
1115,1115,удара,в,113
1116,1116,и,коремни,113
1118,1118,възли,и,112
1120,1120,за,застой,112
1122,1122,и,дълбока,112
1125,1125,перисталтика,без,112
1126,1126,отоци,няма,112
1127,1127,стойности,на,111
1128,1128,на,гръден,111
1137,1137,добавени,хрипове,111
1143,1143,на,носа,110
1147,1147,дълбока,сетивност,110
1148,1148,венозен,застой,110
1151,1151,СД,ритмична,110
1152,1152,отоци,без,110
1153,1153,обрив,по,109
1155,1155,надкостни,рефлекси,109
1159,1159,на,пер,109
1160,1160,тон,без,109
1161,1161,и,щит.жлеза,109
1163,1163,lien,б.о,109
1164,1164,запазена,респираторна,109
1165,1165,на,дебелото,108
1166,1166,раменна,става,108
1167,1167,мастна,тъкан,108
1168,1168,КРАЙНИЦИ,б.о,108
1170,1170,периферни,артерии,108
1171,1171,без,патологична,108
1173,1173,МЕК,НЕБОЛЕЗНЕН,108
1175,1175,дейност,глуховати,108
1181,1181,десен,крак,107
1183,1183,дейност,КОРЕМ,107
1184,1184,дейност,ПУЛС,107
1185,1185,половини,вземат,107
1186,1186,палпират,крайници,107
1190,1190,ВД,без,107
1192,1192,сетивност,запазена,107
1193,1193,в,дясната,106
1194,1194,на,ръцете,106
1195,1195,дадени,указания,106
1196,1196,вземат,еднакво,106
1198,1198,хипестезия,от,106
1202,1202,за,латентни,106
1203,1203,СЪРЦЕ,РИТМИЧНА,106
1205,1205,на,всички,106
1208,1208,ритъм,и,105
1209,1209,ЕЗИК,влажен,105
1213,1213,и,цветоусещане,104
1215,1215,с,палпаторна,104
1220,1220,вени,на,103
1222,1222,мек,и,103
1223,1223,артериални,пулсации,103
1225,1225,с-ма,чисто,103
1228,1228,корем,меки,103
1229,1229,дебелото,черво,102
1230,1230,на,левия,102
1234,1234,без,застойни,102
1235,1235,без,особености,102
1240,1240,стени,палпаторно,102
1242,1242,обучена,за,101
1247,1247,патологични,изменения,101
1249,1249,лигавици,бледорозови,101
1256,1256,координационни,проби,101
1257,1257,на,простатата,100
1258,1258,с,кардиолог,100
1259,1259,на,лицето,100
1261,1261,около,глезените,100
1263,1263,и,консистенция,100
1264,1264,В,задоволително,100
1266,1266,тон,чисто,100
1267,1267,корем,без,100
1269,1269,ДАННИ,ЗА,100
1271,1271,хрипове,ритмична,100
1272,1272,СЛЕЗКА,неувеличени,99
1273,1273,и,рефлекси,99
1277,1277,СД,ясни,99
1279,1279,е,в,98
1281,1281,опипват,увеличени,98
1284,1284,вени,неразширени,98
1287,1287,без,оплаквания,97
1288,1288,рефлекси,и,97
1289,1289,НПР,в,97
1294,1294,застой,ССС,97
1298,1298,повод,на,96
1299,1299,в,лявата,96
1301,1301,подвижност,на,96
1304,1304,психично,развитие,96
1305,1305,на,периферните,96
1310,1310,периферни,на,96
1311,1311,ампутация,на,95
1312,1312,без,трофични,95
1313,1313,варикозни,промени,95
1316,1316,мускулна,сила,95
1318,1318,периферни,съдове,95
1319,1319,кош,меки,95
1320,1320,тонове,глухи,95
1321,1321,корем,на,95
1322,1322,няма,отоци,95
1326,1326,болезнен,над,95
1327,1327,шийни,вени,95
1331,1331,лява,млечна,94
1332,1332,по,крайниците,94
1333,1333,формация,с,94
1334,1334,отпадна,симптоматика,94
1336,1336,вени,не,94
1337,1337,мек,черен,94
1338,1338,с,леки,94
1339,1339,разширени,сърдечни,94
1341,1341,се,установява,93
1342,1342,болка,над,93
1343,1343,ССС,ма,93
1344,1344,ОДА,артрозни,93
1346,1346,по,дистален,93
1353,1353,нормални,пулсации,92
1354,1354,размери,и,92
1357,1357,свиркащи,и,92
1359,1359,и,ПЛВ,92
1366,1366,на,колона,91
1367,1367,походка,с,91
1371,1371,пръснати,сухи,91
1372,1372,двете,основи,91
1373,1373,ОТОЦИ,ПО,91
1377,1377,В,момента,90
1379,1379,на,десния,90
1380,1380,нормални,размери,90
1384,1384,набелязани,отоци,90
1385,1385,пол,в,90
1386,1386,тонове,чисти,90
1387,1387,отслабено,вез.дишане,90
1388,1388,находка,ССС,90
1389,1389,тон,ССС,90
1390,1390,палпират,ОПОРНО-ДВИГ.АПАРАТ,90
1391,1391,дейност,пулс,90
1392,1392,формация,в,89
1393,1393,и,дясно,89
1394,1394,рана,на,89
1395,1395,двете,ръце,89
1396,1396,в,уринирането,89
1399,1399,двете,гръдни,89
1401,1401,втори,тон,89
1402,1402,В,НОРМА,89
1403,1403,без,пат,89
1404,1404,lien,не,89
1408,1408,преглед,и,88
1410,1410,намалено,зрение,88
1412,1412,в,десен,88
1413,1413,в,добро,88
1415,1415,меки,еластични,88
1423,1423,за,болка,87
1424,1424,в,ставите,87
1426,1426,б.о,ЛИМФНИ,87
1427,1427,и,сухи,87
1430,1430,лека,палпаторна,87
1431,1431,без,промени,87
1432,1432,хрипове,и,87
1433,1433,пулсации,без,87
1434,1434,и,надкостни,87
1435,1435,ясни,СТ,87
1437,1437,липса,на,86
1438,1438,гръдният,кош,86
1439,1439,дясното,подребрие,86
1441,1441,хрипове,ясен,86
1442,1442,РСД,приглушени,86
1444,1444,гърло,спокойно,86
1447,1447,паравертебрална,мускулатура,86
1451,1451,с,меко,85
1455,1455,отоци,с,85
1456,1456,леко,болезнен,85
1458,1458,жлеза,неувеличени,85
1459,1459,се,вижда,85
1460,1460,тонове,ПУЛС,85
1461,1461,на,гръдният,85
1462,1462,отоци,около,85
1469,1469,бледа,видими,85
1472,1472,при,движение,84
1473,1473,съобщава,за,84
1474,1474,след,операция,84
1475,1475,за,двете,84
1479,1479,б.о,КРАЙНИЦИ,84
1480,1480,РСД,пулс,84
1481,1481,действителната,в,84
1482,1482,на,а.,84
1483,1483,ритъм,индиферентна,84
1489,1489,акцентуиран,втори,84
1490,1490,б.о,СД,84
1494,1494,общо,с,83
1495,1495,ОДА,крайници,83
1496,1496,усилена,перисталтика,83
1497,1497,увеличени,ОПОРНО-ДВИГ.АПАРАТ,83
1498,1498,отслабени,пулсации,83
1502,1502,подвижен,палпаторно,83
1506,1506,ВЪЗЛИ,неувеличени,82
1509,1509,оперативна,рана,82
1510,1510,активни,движения,82
1512,1512,артрозно,променени,82
1514,1514,дейност,приглушени,82
1515,1515,тон,ЧВД,82
1520,1520,оперирана,по,81
1521,1521,целия,корем,81
1523,1523,под,терапия,81
1524,1524,б.о,КОРЕМ,81
1525,1525,нормална,дълбочина,81
1529,1529,застойни,хрипове,81
1531,1531,обложен,с,81
1535,1535,аортен,тон,81
1538,1538,дъга,далак,81
1539,1539,в,сърдечната,80
1540,1540,често,уриниране,80
1541,1541,оплаква,се,80
1542,1542,затруднена,походка,80
1543,1543,дясна,млечна,80
1545,1545,тежест,в,80
1546,1546,квадрант,на,80
1547,1547,страна,на,80
1548,1548,лек,оток,80
1549,1549,и,бял,80
1550,1550,без,налепи,80
1551,1551,чревна,перисталтика,80
1552,1552,със,запазена,80
1555,1555,се,опипва,80
1558,1558,ДЕЙНОСТ,ЯСНИ,80
1560,1560,дясно,око,79
1561,1561,изследвания,и,79
1562,1562,повод,карцином,79
1563,1563,ляв,крак,79
1564,1564,пръст,на,79
1566,1566,корем,и,79
1567,1567,А,тон,79
1568,1568,гърло,б.о,79
1569,1569,периферни,отоци,79
1570,1570,дъга,слезка,79
1572,1572,и,пулсации,79
1573,1573,повърхностна,и,79
1574,1574,РСД,нормофреквентна,79
1576,1576,полиневритен,тип,79
1582,1582,лява,колянна,78
1583,1583,без,изменения,78
1584,1584,болка,при,78
1586,1586,дъги,и,78
1587,1587,болезненост,над,78
1588,1588,с,пръснати,78
1590,1590,на,аортата,78
1592,1592,ВПО,на,78
1598,1598,от,главоболие,77
1599,1599,сърдечната,област,77
1600,1600,лечение,с,77
1601,1601,и,оток,77
1602,1602,VOS,VOD,77
1605,1605,хъркащи,хрипове,77
1606,1606,на,артериите,77
1607,1607,КМС,б.о,77
1608,1608,сетивност,за,77
1615,1615,кош,симетричен,77
1620,1620,ниско,в,76
1621,1621,без,динамика,76
1622,1622,и,не,76
1623,1623,помощни,средства,76
1624,1624,с,нормален,76
1625,1625,видими,лигавици-розови,76
1629,1629,единични,екстрасистоли,76
1630,1630,на,шийни,76
1631,1631,СЛЕЗКА,НЕ,76
1633,1633,пулсация,на,76
1637,1637,за,консултация,75
1638,1638,в,гърдите,75
1639,1639,на,краката,75
1640,1640,в,дясното,75
1641,1641,с,тест,75
1642,1642,на,под,75
1643,1643,за,близо,75
1644,1644,развитие,в,75
1645,1645,зрение,б.о,75
1646,1646,и,палпаторна,75
1652,1652,не,обложен,75
1655,1655,на,раждала,75
1656,1656,дясна,основа,75
1659,1659,дейност,акцентуиран,75
1660,1660,ясни,чисти,75
1661,1661,акцентуиран,тон,75
1663,1663,патологична,шумова,75
1668,1668,до,липсващо,74
1669,1669,долен,крайник,74
1670,1670,белодробна,основа,74
1673,1673,сила,и,74
1674,1674,ограничен,обем,74
1675,1675,глухи,сърдечни,74
1676,1676,меко,еластични,74
1677,1677,мек,респираторно,74
1678,1678,външен,квадрант,74
1679,1679,И,СЛЕЗКА,74
1681,1681,ССС,РИТМИЧНА,74
1683,1683,дишане,чисто,74
1689,1689,на,възрастта,73
1690,1690,по,подбедрици,73
1691,1691,В,увредено,73
1695,1695,и,небни,73
1697,1697,бледа,кожа,73
1699,1699,И,ВИДИМИ,73
1700,1700,с-ми,б.о,73
1703,1703,ДС,б.о,73
1704,1704,на,гръд.кош,73
1705,1705,двата,крака,72
1706,1706,жлеза,с,72
1707,1707,коремна,половина,72
1708,1708,намален,слух,72
1709,1709,с,помощни,72
1711,1711,мекоеластична,консистенция,72
1712,1712,ДОБРО,ОБЩО,72
1715,1715,болезнени,и,72
1719,1719,кош,ясен,72
1720,1720,нормално,оцветени,72
1729,1729,изтръпване,на,71
1731,1731,кръвно,налягане,71
1732,1732,на,главата,71
1733,1733,оток,в,71
1734,1734,указания,за,71
1735,1735,крайници,с,71
1736,1736,на,корем,71
1738,1738,без,варици,71
1740,1740,възли,б.о,71
1744,1744,точките,на,71
1745,1745,ДРОБ,изострено,71
1746,1746,двустранно,с,71
1755,1755,физически,усилия,70
1756,1756,умора,при,70
1757,1757,на,а.дорзалис,70
1758,1758,СЛУХ,б.о,70
1761,1761,адекватен,ориентиран,70
1764,1764,слух,б.о,70
1766,1766,без,наличие,70
1770,1770,ЧЕРЕН,ДРОБ,70
1775,1775,правилна,конфигурация,69
1783,1783,обучение,за,69
1784,1784,на,движение,69
1786,1786,И,ШИЯ,69
1789,1789,ССС,ритъм,69
1791,1791,идва,за,68
1793,1793,на,дясното,68
1795,1795,сливици,без,68
1796,1796,без,аномалии,68
1798,1798,МЕК,БЕЗ,68
1799,1799,в,задоволително,68
1800,1800,от,полиневритен,68
1801,1801,и,разширени,68
1808,1808,корем,не,68
1815,1815,увеличени,лимфни,67
1816,1816,направление,за,67
1817,1817,тазобедрени,стави,67
1818,1818,на,уретерите,67
1819,1819,няма,данни,67
1820,1820,на,крайници,67
1822,1822,уринирането,и,67
1825,1825,ЧМН,интактни,67
1826,1826,ЖЛЕЗИ,дадени,67
