,First,Second
414,Хипестезии,на
415,л.в.неув,крайници
416,без,доб.шумове
417,гръдния,кош.Далак
418,кош.Далак,и
419,везиуларно,дишане
420,б.о,С-я
421,С-я,А
422,на,дайствителната
423,отвличане,на
424,вниманието,изчезва
425,СД-рит,уд
426,спок,Непар
427,Непар,ет
428,лиен-неув,SR
429,D.,Pedis-запазен
430,пристягане,в
431,поява,на
432,Опл,от
433,непатентно,наимено­вание
434,наимено­вание,с
435,стернален,ръб
436,мм,Нд
437,лим,възли
438,succ,ren
439,у.м.Корем,мек
440,Офталмологичен,статус
441,език,чист.Гл
442,чист.Гл,тиреоидеа
443,Оперативната,рана
444,см,ОБ.ГЪРДИ-NUM
445,ОБ.ГЪРДИ-NUM,см
446,Липсват,тазово
447,тазово,резервоарни
448,Палпация,на
449,в,орбитите
450,Д.Р,RR
451,Коригира,с
452,на,дейсвителната
453,арт.дорз,педис
454,ПЛВ-неувелечени,Пулмо
455,мин,CСС
456,хипове,Cor
457,дишанел,Пулмо
458,фр,мл-жл-норма-за-вьзр
459,ЧМН,без-пат-лезии
460,Сенз.орг,Б.о
461,общо,с-е.Правилно
462,гръдната,кост.RR
463,и,плв-не
464,пр.шумове,RR
465,Неувредено,общо
466,ПЛВ-неув.Глава,и
467,везикуларно,дишани
468,Сor-нормални,граници
469,АН,кр-ци-без
470,кр-ци-без,отоци
471,СЛУХ,ЛУ-чува
472,ЛУ-чува,ДУ-чува
473,перк.тон.Чисто,вез.дишане
474,дисциркулаторна,енцефалопатия
475,Об.на,глава
476,добро,интелектуално
477,интелектуално,развитие
478,Честота-NUM,мин.COR-ритмична
479,мин.COR-ритмична,сърд.дейност
480,дв,Cor-сърд
481,Cor-сърд,граници-норма
482,вредни,навици
483,отстраняване,на
484,ирадиираща,към
485,при,минимални
486,антихипертензивна,терапия
487,намаление,на
488,отговарящо,на
489,съществени,суб.опл
490,суб.опл,в
491,Ауто,и
492,Палпира,се
493,индеферентна,позиция
494,ДС-Везикуларно,дишане
495,ЕТ,ЛИЕН-Б.О
496,сензомоторна,афазия
497,Fr,min.Арт.и
498,min.Арт.и,венозна
499,Обслужва,се
500,RR,NUM.Гинекологичен
501,NUM.Гинекологичен,статус
502,над,симфиза
503,Б,др-везик
504,др-везик,дишане
505,по,органичен
506,тонове,Бодежи
507,ДОРЗАЛИС,ПЕДИС
508,периферни,вени.Корем
509,с,камертон
510,отр,Кет.тела
511,Кет.тела,уроб
512,ар,итмична
513,Правилно,развет
514,развет,за
515,тонове-NUM,мин
516,вен.мрежа,б.о
517,общо,с-е.ПЛВ
518,д-ст.СЧ-NUM,мин
519,рен.отр.двустранно,крайници
520,щит.жл.неув.ало,и
521,RR,с.ф
522,с.ф,уд.м
523,R,R-NUM
524,м.,Ду
525,Ду,до
526,носопоказалечна,проба
527,),Обем
528,Обем,на
529,далак,неувеличен.Крайници
530,по-малко,от
531,ren,отрицатено
532,отрицатено,двустранно
533,общо,съст.кожа
534,AН,Корем
535,Оплака,се
536,планувана,за
537,с,помоща
538,помоща,на
539,Взима,редовно
540,се,палп.увеличени
541,Окултни,кръвоизливи
542,чест,мин.пр
543,мин.пр,ритъм
544,Липса,на
545,обилие,от
546,Състояние,Новооткрито
547,Новооткрито,[
548,Cor-чисти,и
549,Дорзалис,педис
550,ОПОРНО,ДВИГ
551,ДВИГ,АПАРАТ
552,общо,с-e
553,в,областт
554,увеличен,сук.реналис-отр.дв
555,Пулмо,Везикул
556,ССС,безпатологични
557,безпатологични,пулсациии
558,DATEгод.мастен,профил
559,паротидна,жлеза
560,год.мастен,профил
561,об.талия-NUM,см.Неврологичен
562,см.Неврологичен,статус
563,Cor,хемодинамични
564,хемодинамични,стабилен
565,Отд,с-ма
566,б.о,сук.реналис-отр.двустранно
567,СИСТОЛИЧЕН,ШУМ
568,се,палп.увел.Сок.реналис
569,палп.увел.Сок.реналис,Крайници
570,ТОНОВЕ-ЯСНИ,НОРМОФРЕКВЕНТНА
571,ЗО-VOS,VOD
572,педис,визус-намалено
573,визус-намалено,зрение
574,статус,двигателносг
575,двигателносг,СНР
576,отоци,ЛВ.неувуличени
577,мин.Сук,реналис
578,обема,на
579,без,особ
580,и,щит.жл.неувеличени
581,ВИД.ЛИГ,Б.О.ПЛВ-НЕУВ
582,неболезнен,ч.д.и
583,ч.д.и,далак
584,р-ция,на
585,год.Псих,статус
586,О.Д.С,б.о
587,за,възр.Гърло
588,б.о,Щит.ж-зи
589,Щит.ж-зи,б.о
590,в,палпащия
591,палпащия,на
592,явни,и
593,COR-РСНД,R
594,А,Рец№NUM
595,на,гръд.кош.Хепар
596,гръд.кош.Хепар,и
597,у,мин.Хепар
598,мин.Хепар,ет
599,уд,мин.ХС-Корем
600,Специален,статус
601,годишен,профилактичен
602,на,ендометриума
603,бяло,течение
604,метаболитен,контрол
605,Планувана,за
606,при,миним
607,Дългогодишен,хипертоник
608,от,специалистите
609,на,диспенсерен
610,диспенсерен,учет
611,псориатични,плаки
612,по,фланговете
613,Succussio,renalis
614,Мек,дпперисталтика
615,дпперисталтика,Ч.
616,запазено,тоново
617,тоново,съотношение
618,И,ВИД
619,АН,Вътр.органи
620,Вътр.органи,б.
621,състояние,афибрилен
622,на,ДР.Без
623,ДР.Без,претибиални
624,ИЗПРАЩА,СЕ
625,КВЛ-Б.О,ПУЛМО
626,мин.,Корем
627,Урологичен,статус
628,dex.Cor,РСД
629,б.,о.Кожа
630,мин,пул.чисто
631,пул.чисто,вез.дишане
632,дробове-везикуларно,дишане
633,ЯСНИ,СЪР.ТОНОВЕ
634,Опипват,се
635,в,ЛБО
636,Миома,утери
637,сук.реналис-отр.двустранно,език
638,без,отоци.намалена
639,отоци.намалена,дьлбока
640,за,палп.места
641,у.м.Везикуларно,дишане
642,ВПО-на,раждала
643,ексудативна,находка
644,Протомезосистолен,шум
645,халукс,валгус
646,за,самонаблюдение
647,паренхимни,органи-
648,органи-,сук
649,АОРТЕН,ТОН
650,крило,на
651,без,п.д
652,Р.С.Д,нормофервенктна
653,нормофервенктна,R.R
654,пер.вен,б.о
655,ритмична,сардечна
656,сардечна,дейност
657,на,активните
658,активните,движения
659,без,вен.застой
660,мм,Хг
661,Л,Д.Липсват
662,Вибро,и
663,СЪХРАНЕНО,ОБЩО
664,с-е.Правилно,НПР.ПЛВ
665,НПР.ПЛВ,и
666,б.о,Гр.мл.жлези
667,неучестена,ясни
668,НА,АОРТЕ
669,невр,с-тика
670,б.,о.Мл
671,отоци-запазени,пулсации
672,без,огн.невролог
673,действ,год.Псих
674,се,р-ра.ЧМН
675,крайници,Б.О.Опорно-дв.апарат
676,увел,Сук.рен.отр.щит.жлеза
677,Сук.рен.отр.щит.жлеза,не
678,дишане,Cor-рит
679,б.о,Нормотонус
680,АФАЗИЯ,Черен
681,С.С.С-ма,ритмична
682,ВИДИМА,ВЬЗРАСТ
683,акцентуиран,II-Аортен
684,II-Аортен,тон
685,кардиогенни,отоци
686,на,календарна
687,RR,EKG-син.ритъм
688,пулсов,дефицит
689,ЗРЕНИЕ,VOUtr
690,сърд,д-нос
691,д-нос,ясни
692,крампи,Вяли
693,Вяли,пулсации
694,ри,тон.СЧ-NUM
695,тон.СЧ-NUM,у
696,поставяне,на
697,се,повлиява
698,повлиява,от
699,Лекува,се
700,в,рамките
701,рамките,на
702,Персистиране,на
703,СЪОБЩАВА,ЗА
704,ЕЗИК,Необложен
705,кръвоизливи,отр.Белтък
706,отр.Белтък,отр
707,Нд,СЧ
708,подвижен,пал.неболезнен
709,тъпанчеви,мембрани
710,алопсихичен,емоционална
711,емоционална,сфера-запазена
712,визус,ок.синистра-NUM
713,протосистоличен,шум
714,правилно,конфигурирана
715,гр.кош-двете,гр.пол.участват
716,гр.пол.участват,еднакво
717,диш,зап.респ.подвижност
718,зап.респ.подвижност,честота
719,стени,Чр.Др.на
720,Нepar,et
721,разширени,вени.SR-двустранно
722,(,a.dorsalis
723,a.dorsalis,pedis
724,НА,УРЕТЕРИТЕ
725,и,слез
726,Presbiopia,Angiosclerosisi
727,сакрален,отдел
728,Сим,гр
729,сметка,на
730,на,пер.артерии
731,на,мл.ж-направено
732,RR,Фрекв
733,RR,U
734,вез,дишанe
735,деформации,анализатори-бо
736,анализатори-бо,шия
737,и,автопсих
738,общо,състояние.Кожа
739,двигат,апбо
740,апбо,Гърло
741,Гърло,слокойно
742,слокойно,Неувеличени
743,б.о,Неразширени
744,REN,BILLРъст
745,BILLРъст,Тегло
746,ph,VODNUM
747,VODNUM,VOS
748,у,мин.Хран
749,мин.Хран,с-ма
750,RR,NUM-Неврологичен
751,NUM-Неврологичен,статус
752,гр.кош,отпуснати
753,ЯСТ,Акц.втори
754,Акц.втори,тон
755,КОМПЕНСИРАНО,ОБЩО
756,шеп,реч
757,и,лиеннеувел
758,общо,съст.Походка
759,ТОНОВЕ-ЧИСТИ,И
760,с,акц.A
761,на,аа.dorsalis
762,аа.dorsalis,pedis
763,АН,мм.Бял
764,мм.Бял,дроб
765,RR,Неpar
766,Неpar,et
767,отсл.везикуларно,дишане
768,И,СРЕДНИ
769,големия,кръг
770,кръг,на
771,ОП.ДВ,АПАРАТ
772,без,суициден
773,суициден,риск
774,кожа,стъпало-б.о
775,стъпало-б.о,има
776,на,а.д.педис
777,на,пов.артерии
778,и,наранявания
779,Нормопсихична,КОРЕМ
780,двигат,дефецит
781,за,възрняма
782,възрняма,вен
783,вен,нед.ПЛВ
784,нед.ПЛВ,неув.Слух
785,на,крайниците-запазени
786,запазени,ПАП.Негативен
787,ПАП.Негативен,неврологичен
788,състояние,тел.темпер
789,Корем,мек-опер
790,обичаен,цвят
791,ИНФОРМИРАН,СЪМ
792,ЗА,ВИДА
793,ВИДА,ЛЕКАРСТВО
794,ЛЕКАРСТВО,НЕГОВОТО
795,НЕГОВОТО,ДЕИСТВИЕ
796,ДЕИСТВИЕ,ПРИЛОЖЕНИЕ
797,ПРИЛОЖЕНИЕ,СТРАНИЧНИ
798,СТРАНИЧНИ,РЕАКЦИЙ
799,РЕАКЦИЙ,РЕД
800,РЕД,И
801,И,НАЧИН
802,НАЧИН,НА
803,НА,ПРИЕМАНЕ
804,ПРИЕМАНЕ,НАПЪЛНО
805,ЧАСТИЧНО,ЗАПЛАЩАНЕ
806,ЗАПЛАЩАНЕ,ОТ
807,НЗОК,КАКТО
808,КАКТО,И
809,И,ДАЛИ
810,ДАЛИ,ИМА
811,ИМА,ЛЕКАРСТВЕНИ
812,ЛЕКАРСТВЕНИ,ПРОДУКТИ
813,ПРОДУКТИ,СЪС
814,СЪС,СЪЩОТО
815,СЪЩОТО,МЕЖДУНАРОДНО
816,МЕЖДУНАРОДНО,НЕПАТЕНТНО
817,НЕПАТЕНТНО,НАИМЕНОВАНИЕ
818,НАИМЕНОВАНИЕ,С
819,ПО,НОСКА
820,НОСКА,ЦЕНА
821,ЦЕНА,ЗАПЛАЩАНА
822,ЗАПЛАЩАНА,ЧАСТИЧНО
823,б.,о.Везикуларно
824,о.Везикуларно,дишане
825,по,клепачите.
826,клепачите.,Pulmo
827,Намалена,мускулта
828,мускулта,села
829,Нормостенен,хабитус-Т
830,хабитус-Т,кг
831,в,Ромберт
832,Cor-нормални,граници
833,Сor-ритмична,сърдечна
834,без,ШСЗ
835,СЧ,мин.яснитонове
836,мин.яснитонове,без
837,не,увел.Д.С
838,палп.места,ПЛВ
839,Неув.ПЛВ,и
840,уробилиноген-N,билирубин
841,долните,кведренти
842,кведренти,ч.дроб
843,ВИЗУС-NUM,НА
844,и,собсвена
845,Нехиперемиран,фаринкс
846,ИТМ,референтен
847,референтен,Контактен
848,вьзраст,отговаряща
849,екстрасистули,Консултиранс
850,Консултиранс,кардиолог
851,Намалени,Вибро
852,Походка,вьзможна
853,вьзможна,на
854,и,прьсти
855,ППсистема,без
856,И,СОБСТВАНА
857,СОБСТВАНА,ЛИЧНОСТ
858,ППС-сук.рен,отр
859,ритмична,сърдейна
860,сърдейна,дейност
861,медикаментозно,лечение
862,НА,ДЕБЕЛОТО
863,периодидично,има
864,на,свят
865,на,простатната
866,простатната,жлеза
867,ФИЗИЧЕСКИ,УСИЛИЯ
868,през,нощта
869,ФО-няма,Мин.заб
870,оптимален,контрол
871,артериално,налягане
872,Зрителна,острота-корекция
873,пер.вени,б.о
874,хеморагична,диатеза
875,ЕТ,ЛИЕН-НЕУВЕЛИЧЕНИ
876,на,а.дорз
877,mm,Hg.СЧ
878,Hg.СЧ,уд
879,Пулсаций,на
880,на,тъканите
881,EКГ-синусов,ритъм
882,с,помощта
883,помощта,на
884,Фр-NUM,норм.Дишане
885,норм.Дишане,нор.Корем
886,нор.Корем,мек
887,отр.Млечни,жлези
888,уртикариален,обрив
889,метална,остеосинтеза
890,ССС,ритм.СД-NUM
891,ритм.СД-NUM,уд
892,Редукция,на
893,Пулмо,ЧВД.Стъпала-оглед-запазен
894,ЧВД.Стъпала-оглед-запазен,свод
895,дишане,костално
896,костално,еупнея
897,общо,с-е.Глава
898,Интенционен,тремор
899,АН,КР.ЗАХАР-NUM
900,КР.ЗАХАР-NUM,КРАЙНИЦИ
901,Служебно,посещение
902,PULMO,ET
903,травматична,ампутация
904,КРАЙНИЦИ,НЕОТОЧНИ
905,мл.ж-направено,Раждания
906,се,регистрират
907,л-ци,нормалнооцветени
908,двете,подребрия
909,подребрия,Черен
910,оперативният,цикатрикс
911,б.,о.Периферни
912,ОЧНИ,ДЪНА
913,на,гр.кош.Липсва
914,гр.кош.Липсва,патологична
915,ПЛВи,щ.ж.неуголемени
916,фр.в,мин
917,с,накуцване
918,Цветоусещане-в,норма
919,мисловна,дейност
920,ЕКГ,об.талия-NUM
921,МЛЕЧНА,ЖЛЕЗА
922,кг.Р,см
923,куцаща,походка
924,ДОЛАВЯ,ШЕПОТНА
925,ЧЕТВЪРТИ,ДИСПАНСЕРЕН
926,двустранно,отр.Опорно
927,отр.Опорно,двигателен
928,ОТГОВАРЯЩА,НА
929,с,нормеална
930,нормеална,големина
931,сърдечна,дейносш
932,дейносш,синусов
933,разширени,вени.Псих.статус
934,сърд,нове
935,нове,Кр
936,НЕ,МОЖЕ
937,Cor-а,РСД
938,за,ОДН
939,маг.съд,пер.вен
940,под,ребрната
941,ребрната,дъга
942,останали,органи
943,и,Пастернацки
944,ОДА,пр.конф
945,пр.конф,Крайници
946,разширени,Невролотичен
947,Невролотичен,статус
948,туловищна,атаксия
949,уд,мин.ЕКГ-син
950,мин.ЕКГ-син,ритъм
951,единични,Ех.Контрол
952,на,магистр
953,СЛ,НЕУВ.ПОС-Б.О.КРАЙНИЦИ
954,АН,NUM.П-NUM
955,NUM.П-NUM,уд
956,атроф,суха.Шийна
957,суха.Шийна,контрактура
958,без,добаве
959,добаве,хрипове
960,ясни,ичисти
961,Cor,ритм.сърд.д
962,RR,ИНФОРМИРАН
963,б.о,Урина-алб-отрицателно
964,В,ДИШАНЕТО
965,без,хр.ДЧ-NUM
966,хр.ДЧ-NUM,Cor
967,тонове,КР.нал
968,КР.нал,Корем
969,СМРД-не,се
970,СНР-ум,живи
971,б.о,ПЛВ-неув.Pulmo-ЧВД
972,ПЛВ-неув.Pulmo-ЧВД,cor
973,и,ВЛ-розови
974,неувл,без
975,парези,Сетивен
976,Сетивен,синдром
977,с,хиперестезии
978,хиперестезии,за
979,б.о,Пелмо
980,Пелмо,вез
981,еднакъв,на
982,Рец№NUM,Ксанакс
983,мг.DATEдни,Информиран
984,ІІ,С.Т.ясни
985,С.Т.ясни,без
986,болезнен,SUCC.RENALIS
987,Cor,Аускулт
988,Аускулт,ясни
989,б.о,Неув.ПЛВ
990,Нервна,система-нарушени
991,система-нарушени,координационни
992,дефек,АН
993,захар,отр.ацетон
994,отр.ацетон,уробилиноген-N
995,изранена,Пулмо
996,с.,д.честота
997,д.честота,мин
998,АКРОЦИАНОЗА,ОХРАНЕНОСТ
999,на,пикочо-половата
1000,пикочо-половата,с-ма
1001,РСД,г.с.т
1002,мезо,систолен
1003,шумова,анходка
1004,анходка,без
1005,фр,м.Пулмо
1006,м.Пулмо,чисто
1007,Pulmo,претъпление
1008,претъпление,в
1009,Зрение,л.DATE
1010,л.DATE,и
1011,urob,неув
1012,състояние,Кажа
1013,суха,безпигментни
1014,безпигментни,нарушения
1015,Сукусие,реналис
1016,в,югуларната
1017,югуларната,област
1018,И,ЛИГАВИЦИБ
1019,ЛИГАВИЦИБ,О
1020,носоглътка,спокойна
1021,няма,халюц
1022,АН,СД-рит
1023,Плануван,за
1024,Необходимо,е
1025,лепнене,на
1026,датира,от
1027,в,аналната
1028,вида,действието
1029,в,неврология
1030,Страда,от
1031,Чувсва,се
1032,с-тите,на
1033,Отива,на
1034,на,Бехтерев
1035,Хепар-не,се
1036,реналис,отр.Простата
1037,вез,диш.с
1038,без,хр.Сър.съд.с-ма
1039,хр.Сър.съд.с-ма,ритм
1040,Положителна,ротаторна
1041,ротаторна,проба
1042,без,особенности
1043,SR-,(
1044,Визус,ок.декстра-NUM
1045,ок.декстра-NUM,визус
1046,Кр-ци-без,отоци
1047,гинекологичиен,статус
1048,несрастнала,с
1049,при,преглъшане
1050,когнитивен,дефицит
1051,без,пат.пром.зап.арт.пулсации
1052,пат.пром.зап.арт.пулсации,Корем
1053,В,зап.общо
1054,min.Cor,РСД
1055,и,пола
1056,пола,без
1057,интензивно,зачервен
1058,Т,вълни
1059,хепар-ет,лиен
1060,RR,DATE-NUM
1061,се,визуализират
1062,слузна,секреция
1063,б.о,Ст.ген.норм
1064,Невролгичен,статус
1065,дишане,адхезии
1066,адхезии,в
1067,на,дебелите
1068,глухи,сорд
1069,сорд,тонове
1070,Понесъл,оперативно
1071,шитовидна,жлеза
1072,лумб.отдел,на
1073,коремни,органи-палпаторна
1074,профил,креатинин-DATEгод
1075,Зрителна,острота-нормална
1076,стичащ,се
1077,на,деиствителната
1078,Палпират,се
1079,ясни,тоновe
1080,тоновe,RR
1081,цветоусещане-нормално,НПС-без
1082,НПС-без,патологични
1083,Щитовидна,железа-нормална
1084,железа-нормална,консистенция
1085,на,гр.экош
1086,гр.экош,Черен
