,Word,Count
289,добро,604
290,бледи,604
291,шумова,602
292,да,601
293,място,598
294,артрозни,587
295,мин.Корем,585
296,меки,582
297,др,568
298,единични,567
299,мм,562
300,СЛУХ,562
301,о.,562
302,възрастта,560
303,норм,559
304,Мл,559
305,Палпаторна,558
306,подбедрици,549
307,Увредено,549
308,м.,547
309,увредено,546
310,ляв,544
311,преглед,540
312,нормални,540
313,добре,538
314,органи,534
315,диш,532
316,терапия,531
317,cm,529
318,бледо,524
319,липсва,518
320,хабитус,515
321,тонус,515
322,далак,515
323,педис,510
324,ВЕНИ,507
325,д-ст,503
326,Т,502
327,С-МА,501
328,неувеличен,501
329,походка,500
330,КРАЙНИЦИ,499
331,коленни,499
332,пол,497
333,мамектомия,496
334,Зрителна,495
335,изменения,492
336,до,491
337,Слух,490
338,хипестезия,486
339,увеличен,486
340,отслабени,480
341,Р-NUM,480
342,ПСИХИЧЕСКИ,478
343,гръдния,475
344,оплаквания,474
345,ръка,471
346,грубо,471
347,гръден,470
348,обложен,470
349,ПУЛМО,467
350,с-е,465
351,аритмична,465
352,силно,464
353,Талия,463
354,симетричен,461
355,ЖЛЕЗИ,458
356,синусов,457
357,периф,457
358,консистенция,454
359,Hepar,452
360,десен,448
361,подребрие,445
362,ПИКОЧО-ПОЛОВО,440
363,мин.RR,440
364,леки,439
365,наличие,439
366,МЛ,439
367,намален,438
368,П.,438
369,дребни,435
370,корекция,434
371,стъпало,434
372,Ромберг,434
373,Кръвно,434
374,ориентиран,430
375,симфизата,429
376,Запазено,429
377,симптоматика,428
378,П,428
379,има,426
380,вид,426
381,оттоци,425
382,издишване,424
383,МЕК,424
384,формации,422
385,ребр,422
386,ТОНОВЕ,420
387,ЗА,418
388,Език,418
389,Fr-NUM,418
390,промяна,414
391,сук,414
392,увел,413
393,син,408
394,удължен,408
395,апарат,407
396,а,406
397,Невр,406
398,корема,400
399,рана,399
400,гърло,397
401,върха,397
402,Оперативен,395
403,акц,394
404,подвижен,392
405,претибиални,392
406,слух,391
407,ДЕЙНОСТ,391
408,коремни,389
409,НЕВР.СТАТУС,389
410,добра,388
411,варици,387
412,ФР,386
413,половина,385
414,Дроб,385
415,ОТОЦИ,383
416,р,381
417,небол,381
418,обем,380
419,експириум,380
420,На,378
421,ГР.КОШ,378
422,ИЗСЛ,378
423,Лимфни,377
424,ВОС,377
425,щит,376
426,МАНУАЛНО,376
427,Л,375
428,Д,373
429,ниво,373
430,възраст,371
431,д,370
432,СР,370
433,необложен,369
434,д.,369
435,От,364
436,бледа,364
437,обл,362
438,ВЕЗИКУЛАРНО,362
439,изразена,361
440,гр.кош,360
441,момента,359
442,задоволително,359
443,ren,359
444,МРД,355
445,СЕ,354
446,удължено,354
447,За,353
448,реч,353
449,приглушени,352
450,р.,351
451,Succ,348
452,Псих,348
453,подвижност,347
454,фр-NUM,344
455,Cor-ритмична,342
456,долните,340
457,крак,339
458,с-ние,339
459,подбедрица,338
460,кожата,337
461,РИТМИЧНА,337
462,крайниците,336
463,о,336
464,основи,336
465,Сетивност,335
466,Дишане,335
467,към,333
468,щитовидна,333
469,липсват,330
470,ЖЛЕЗА,329
471,Цветоусещане,329
472,дълбока,326
473,лявата,326
474,парези,326
475,Има,325
476,големина,325
477,опипват,325
478,артерии,324
479,Ао,324
480,шепотна,322
481,л.в,322
482,развитие,321
483,ХРИПОВЕ,321
484,палпат,321
485,спокойно,320
486,влажен,320
487,cor,319
488,хемипареза,318
489,основите,318
490,Коремен,318
491,Със,317
492,видима,315
493,Пер,315
494,отрицателно,315
495,изписване,312
496,лапаротомия,312
497,ВД,312
498,ТОНЗИЛИ,311
499,психичен,311
500,ч.дроб,309
501,формация,308
502,Са,308
503,дифузно,308
504,карцином,307
505,самоизследване,307
506,Слезка,307
507,дясната,306
508,съст,306
509,Сърд,306
510,неврологичен,306
511,Т-NUM,304
512,глуховати,304
513,ИТМ-NUM,304
514,основа,303
515,диабетно,303
516,сонорен,303
517,тургор,302
518,отпадна,302
519,Нормален,301
520,патолог,301
521,Ту,299
522,мастектомия,298
523,повече,295
524,млечна,292
525,меко,290
526,дишането,289
527,Мл.жлези,289
528,НЕ,286
529,оточни,286
530,Очен,286
531,мин.АН,286
532,ЯСНИ,286
533,арт,285
534,Щит.жлеза,285
535,сукусио,285
536,лека,282
537,глава,282
538,Далак,282
539,кр,281
540,коремна,280
541,еластични,279
542,Дих,279
543,Сук.рен,279
544,ПО,277
545,Леко,276
546,патология,276
547,Запазена,275
548,ВОД,272
549,отсл,272
550,деиност,272
551,ЩИТОВИДНА,271
552,lien,270
553,сл,270
554,Кр,269
555,добавени,269
556,правилен,268
557,стълб,267
558,Ласег,267
559,хиперемирано,265
560,ч.,264
561,ед,264
562,ОБЩО,264
563,VOS-NUM,264
564,резекция,263
565,лек,263
566,главоболие,262
567,VOD-NUM,261
568,уголемени,261
569,хоспитализация,260
570,декстра,260
571,Акцентуиран,260
572,тремор,259
573,език,259
574,пер,259
575,П-NUM,258
576,ЕКГ-синусов,258
577,долавя,257
578,Отслабено,257
579,правилна,256
580,нормофр,256
581,приб,256
582,зачервено,255
583,усет,255
584,Н,254
585,респираторно,254
586,години,253
587,ориентирана,253
588,размери,252
589,са,250
590,ритмични,250
591,лекарства,249
592,запазено,249
593,оперирана,248
594,млечни,247
595,ЛВ,247
596,След,246
597,Вез,246
598,бял,245
599,Щт,245
600,лиг,244
601,СЪРДЕЧНА,244
602,трофични,244
603,чиста,244
604,стена,241
605,визус,241
606,тонзили,241
607,захар,240
608,отдел,240
609,патол,240
610,и.,239
611,оперативно,238
612,обрив,237
613,изследване,237
614,симетрични,237
615,пулсац,237
616,г.,236
617,Фр-NUM,236
618,Дих.система,236
619,=,236
620,отговаряща,235
621,сила,235
622,СД-ритмична,235
623,око,234
624,г,234
625,дорзалис,234
626,Нормално,234
627,дистален,234
628,операция,233
629,спокойна,232
630,дъги,232
631,Симетричен,231
632,сухожилни,231
633,химиотерапия,230
634,консултация,230
635,половини,230
636,ДО,228
637,СС,228
638,Дихателна,228
639,еднакво,228
640,живи,228
641,МИН,228
642,б,227
643,позиция,227
644,участие,225
645,с-м,223
646,Жена,223
647,риск,223
648,застойни,223
649,Сукк,222
650,кръста,221
651,NUM-ри,221
652,проби,221
653,опер,220
654,Афебрилен,220
655,Нормални,220
656,св,219
657,херния,218
658,Краиници,217
659,пръснати,216
660,renalis,216
661,движение,215
662,активни,214
663,вл,214
664,Афебрилна,213
665,систоличен,213
666,л.,212
667,болезнена,212
668,срединна,212
669,пъпа,211
670,двигателен,211
671,Пулсации,211
672,отпадналост,210
673,очи,210
674,Ех,210
675,СД-ритм,210
676,редовно,209
677,НС,209
678,очила,208
679,невр,208
680,оплаква,207
681,Неувеличени,207
682,небни,207
683,Коремни,206
684,физиологична,206
685,двата,205
686,ДВУСТРАННО,205
687,изследвания,204
688,Периф,204
689,левостранна,203
690,вдясно,203
691,личност,203
692,Нормостеничен,203
693,л,202
694,Намалена,202
695,може,201
696,перк,201
697,част,200
698,НПР,200
699,магистрални,200
700,КМС,200
701,псих,200
702,екстрасистоли,198
703,кашлица,197
704,ЛО,197
705,Урина,197
706,Ограничени,196
707,ч.в.д,196
708,Липсват,195
709,Артериално,194
710,напълнен,194
711,адекватен,194
712,Долни,194
713,ЧИСТО,194
714,контрол,193
715,изразен,193
716,намалено,193
717,Състояние,193
718,оточна,193
719,чвд,193
720,намалени,193
721,кардиолог,192
722,Б.,192
723,уриниране,191
724,действителната,191
725,Лиен,191
726,перк.тон,191
727,областа,190
728,изразени,190
729,мускулатура,190
730,сърд.тонове,190
731,ДЧ-NUM,190
732,бил,189
733,вибрационен,189
734,Опорно,188
735,нормофреквентно,187
736,дясното,185
737,неврологична,185
738,СТ,184
739,краката,183
740,колянна,182
741,контролен,182
742,ахилови,182
743,температура,181
744,адекватна,181
745,дни,180
746,лицето,180
747,хипертония,179
748,умора,179
749,БМИ,179
750,систолен,179
751,Акц,179
752,долен,178
753,вляво,178
754,мускулна,178
755,мекоеластични,178
756,шията,177
757,поради,177
758,десния,177
759,ОДС,177
760,FR,177
761,щит.жлеза,177
762,вез.диш,177
763,Cor-р,177
764,год,176
765,лесна,176
766,варикозни,176
767,Гинекологичен,176
768,Палп,176
769,нормостеничен,176
770,Насочва,175
771,подвижна,175
772,фаринкс,175
773,ХСМ,175
774,световъртеж,174
775,но,174
776,левия,174
777,ТЕМПЕРАТУРА,174
778,глезените,174
779,Лява,174
780,ВОД-NUM,174
781,Вале,174
782,Афибрилен,174
783,пасивни,173
784,черво,173
785,тъкан,173
786,Score,173
787,ОТ,172
788,Нос,172
789,Ритм,172
790,Липсва,171
791,фрекв,171
792,във,170
793,сърце,170
794,рит,170
795,с-ми,170
796,Съдечен,170
797,F,170
798,шиен,169
799,Ясен,169
800,Ф,169
801,квадрант,168
802,СЪРД,168
803,удара,168
804,претер,167
805,СЪСТОЯНИЕ,167
806,Нервна,167
807,дв.Крайници,167
808,няколко,166
809,синистра,166
810,нистагъм,166
811,оцветка,166
812,чест,166
813,НЕБОЛЕЗНЕН,166
814,аа,166
815,удмин,166
816,анус,165
817,ниско,165
818,урина,165
819,заболявания,164
820,мл.жлеза,164
821,Отоци,164
822,особености,164
823,Норм,164
824,долна,163
825,чувствителност,163
826,шийни,163
827,розова,162
828,дистална,162
829,деформации,162
830,отр.дв,162
831,еласт,162
832,ръцете,161
833,паравертебрално,160
834,операт,160
835,ч,160
836,периферен,160
837,Обучена,160
838,психично,160
839,Мъж,159
840,зрителна,159
841,вземат,158
842,О,158
843,Бледи,158
844,оперативна,157
845,Болка,157
846,носа,157
847,крайник,157
848,BMI,157
849,повърхностна,157
850,Оперирана,156
851,При,156
852,умерено,156
853,места,156
854,цианоза,156
855,бел,156
856,сърцебиене,155
857,крака,155
858,диспансерен,155
859,тежест,155
860,гърба,155
861,всички,155
862,НОРМА,155
863,Ч.др,155
864,Ерб,155
865,Пациентката,154
866,белодробни,154
867,сист,154
868,през,153
869,тотална,153
870,втори,153
871,контролира,153
872,нарушения,152
873,р-ри,152
874,постоперативен,152
875,Щит.жл,152
876,бледорозови,152
877,респираторна,152
878,По,151
879,пост,151
880,ЩЖ,151
881,образувание,150
882,гръдни,150
883,Suc,150
884,суха,149
885,латентни,149
886,повърхност,148
887,щит.жл,148
888,десностранна,148
889,Бабински,148
890,горен,147
891,ч.др,147
892,дълбочина,147
893,ф,147
894,често,146
895,Оток,146
896,налепи,146
897,ставите,145
898,уголемена,145
899,патологична,145
900,хиперемирани,145
901,секрет,144
902,целия,144
903,Мл.жл,144
904,л-ци,144
905,тела,144
906,напрегната,143
907,степен,143
908,бол,143
909,с.,143
910,налеп,142
911,ПЛВ-неувеличени,142
912,ТБС,141
913,полиневритен,141
914,Извършена,141
915,ПЛВ-не,141
916,указания,141
917,Нормална,141
918,АХ,140
919,лигавици-розови,140
920,фреквенция,140
921,Д-ност,140
922,Сърдечни,140
923,Д.С,140
924,P-NUM,140
925,коляно,139
926,линия,139
927,собствена,139
928,Дясна,139
929,сух,139
930,венозен,139
931,Мануално,139
932,пат,139
933,меко-еластичен,139
934,тахикардична,138
935,п,137
936,пулсаций,137
937,Глухи,137
938,артериални,137
939,зачервяване,136
940,лъчетерапия,136
941,изсл,136
942,структура,136
943,неболезнена,136
944,ма,136
945,Б,136
946,ПАЛПИРАТ,136
947,задух,135
948,гърдите,135
949,еластичност,135
950,неразширени,135
951,колостома,134
952,Гр,134
953,външен,134
954,Координация,134
955,огр,134
956,ОТР,134
957,гл,133
958,затруднена,133
959,н,133
960,Pulmo-везикуларно,133
961,хрипчета,133
962,COR,133
963,Силно,132
964,пресбиопия,132
965,Аритмична,132
966,ПАЛПАТОРНА,132
967,белег,132
968,уд.в,132
969,инд,132
970,Идва,131
971,паравертебрална,131
972,Б.о,131
973,силна,130
974,процедура,130
975,липсващо,130
976,сър,130
977,Наличие,130
978,обучена,130
979,допир,130
980,Сърдечно-съдова,130
981,частична,129
982,БОЛКА,129
983,пр,129
984,добър,129
985,У,129
986,набелязани,129
987,Шия,129
988,един,128
989,еднакви,128
990,ДОБРО,128
991,аритм,128
992,],128
993,плътна,127
994,дадени,127
995,L,127
996,Изострено,127
997,раменна,126
998,трудно,126
999,дразнене,126
1000,полиневропатия,126
1001,ту,126
1002,А.Н,126
1003,[,125
1004,Сърдечен,125
1005,СЪРД.Д-СТ,125
1006,стойности,124
1007,т,124
1008,невролог,124
1009,ПЛП,124
1010,уд.мин,124
1011,СА,123
1012,ухо,123
1013,кръвно,123
1014,възраста,123
1015,ръб,123
1016,ЕТ,123
1017,ПРИ,122
1018,хиперемия,122
1019,ан,122
1020,а.,122
1021,подвижни,122
1022,преглъщане,121
1023,отр.двустранно,121
1024,умин,121
1025,динамика,120
1026,вижда,120
1027,множество,120
1028,проходим,120
1029,ДС-чисто,120
1030,екзофталм,120
1031,надкостни,120
1032,неболезнени,120
1033,разш,120
1034,преди,119
1035,прешлени,119
1036,смущения,119
1037,с-ка,119
1038,очни,119
1039,мастна,119
1040,простата,118
1041,променени,118
1042,съобщава,118
1043,нарушена,118
1044,идем,118
1045,перист,118
1046,Тонове,118
1047,Б.дроб,118
1048,Сук.реналис,118
1049,мехур,117
1050,установяват,117
1051,ГИНЕКОЛОГ,117
1052,ВЕЗ,117
1053,Грубо,117
1054,ПФ,117
1055,УНГ,116
1056,ІІ,116
1057,хистеректомия,116
1058,конфигурация,116
1059,развита,116
1060,НЕУВ,116
1061,N,115
1062,Мамектомия,115
1063,Шийни,115
1064,помощ,114
1065,ускорена,114
1066,ЕКГ-син,114
1067,усилена,114
1068,правилно,114
1069,координационни,114
1070,НЗОК,113
1071,Видими,113
1072,хъркащи,113
1073,резервоари,113
1074,като,112
1075,допълнителни,112
1076,секреция,112
1077,средни,112
1078,Походка,112
1079,дебелото,111
1080,ТУ,111
1081,отстранена,111
1082,Контактен,111
1083,опипва,111
1084,наляво,111
1085,минута,111
1086,раждала,111
1087,везиколарно,111
1088,изтръпване,110
1089,пациента,110
1090,пръст,110
1091,ръце,110
1092,Рефлекси,110
1093,АКН,110
1094,DATEг,109
1095,пръстите,109
1096,Cor-рит,109
1097,диш.без,109
1098,Гръден,109
1099,отр.Крайници,109
1100,акц.А,109
1101,периферните,109
1102,белодробна,108
1103,През,108
1104,идва,108
1105,зърно,108
1106,проба,108
1107,ВПО,108
1108,лигавица,108
1109,Л.,108
1110,ало,108
1111,крайника,107
1112,ампутация,107
1113,ВОС-NUM,107
1114,краиници,107
1115,снижени,107
1116,чист,107
1117,зап,107
1118,Ps,107
1119,оцветени,107
1120,страна,106
1121,очен,106
1122,добри,106
1123,вид.лиг,106
1124,pedis,106
1125,ДАННИ,106
1126,БОЛЕЗНЕН,106
1127,специалист,105
1128,слабо,105
1129,еластична,105
1130,респ,105
1131,къс,105
1132,см.Тегло,105
1133,съст-е,105
1134,р.с.д,105
1135,затруднени,104
1136,Ст,104
1137,Касае,104
1138,средства,104
1139,отклонение,104
1140,R,104
1141,неув.Крайници,104
1142,АГ,103
1143,ампутирана,103
1144,нос,103
1145,ригидност,103
1146,мургава,103
1147,простатата,102
1148,Приема,102
1149,затруднено,102
1150,ок,102
1151,несе,102
1152,ПУЛСАЦИИ,102
1153,тон.Р-NUM,102
1154,провежда,101
1155,образование,101
1156,форма,101
1157,V,101
1158,латентна,101
1159,Хипестезия,101
1160,ОРГАНОМЕГАЛИЯ,101
1161,процес,100
1162,усилия,100
1163,тест,100
1164,РНСД,100
1165,ингвинална,99
1166,учет,99
1167,зачервена,99
1168,мм.Корем,99
1169,ДЧ,99
1170,деформация,98
1171,Минали,98
1172,си,98
1173,лезия,98
1174,деформирани,98
1175,окули,98
1176,неуголемени,98
1177,Cor-ритм.сърд.дейност,98
1178,горни,97
1179,чести,97
1180,диабетна,97
1181,Pulmo-чисто,97
1182,вертебрален,97
1183,Контрол,97
1184,месеца,96
1185,Болки,96
1186,сравнително,96
1187,основата,96
1188,Ахилови,96
1189,мекоеластична,96
1190,в.,96
1191,алба,96
1192,Пер.вени,96
1193,артрозно,96
1194,уплътнения,96
1195,физ,95
1196,главата,95
1197,лявото,95
1198,колона,95
1199,f,95
1200,Отслабени,95
1201,спокойни,95
1202,Психическо,95
1203,Острота,95
1204,VOD=,95
1205,р.д,95
1206,п.,95
1207,ТОН,95
1208,Фреквенция,95
1209,установява,94
1210,които,94
1211,нал,94
1212,парене,94
1213,зачервени,94
1214,контактна,94
1215,видимо,94
1216,ограничен,94
1217,афебрилен,94
1218,ел,94
1219,Бледа,94
1220,НС-ма,94
1221,аортен,94
1222,насочва,93
1223,болест,93
1224,тялото,93
1225,затлъстяване,93
1226,уринирането,93
1227,хипохондриум,93
1228,Невр.статус,93
1229,АСД,93
1230,Съобщава,92
1231,достъпни,92
1232,Псих.статус,92
1233,ШВЗ,92
1234,съхранени,92
1235,дейн,92
1236,откл,92
1237,или,91
1238,оточен,91
1239,болезнено,91
1240,бедро,91
1241,гонартроза,91
1242,напрегнат,91
1243,муск,91
1244,Адекватен,91
1245,интактни,91
1246,сук.рен,91
1247,контактен,91
1248,перкуторни,91
1249,RR=,91
1250,диабет,90
1251,стягане,90
1252,първично,90
1253,лигавици-бледи,90
1254,Сухи,90
1255,обучение,90
1256,уточняване,89
1257,липса,89
1258,мл.жлези,89
1259,прояви,89
1260,колон,89
1261,БОЛЕЗНЕНОСТ,89
1262,едри,89
1263,индиферентна,89
1264,Двустранно,89
1265,ВИДИМИ,89
1266,Провежда,88
1267,Пациентът,88
1268,лумбална,88
1269,гръдна,88
1270,близо,88
1271,чревна,88
1272,прав,88
1273,парестезии,88
1274,атаксия,88
1275,съхранена,88
1276,рамо,87
1277,гръдният,87
1278,положение,87
1279,Данни,87
1280,Дъга,87
1281,дефицит,87
1282,ДС-вез.дишане,87
1283,Очни,87
1284,с.ч,87
1285,болезн,87
1286,СЪРДЕЧНИ,87
1287,Температура,86
1288,ЛЯВА,86
1289,ограничена,86
1290,Чер,86
1291,чр,86
1292,гран,86
1293,гадене,85
1294,Преди,85
1295,заболяване,85
1296,цел,85
1297,НЯМА,85
1298,уретер,85
1299,сьстояние,85
1300,физиол,85
1301,сетивност-запазена,85
1302,двиг,85
1303,СЛ,85
1304,suc,85
1305,маме,84
1306,зад,84
1307,проведено,84
1308,пулсация,84
1309,двустранна,84
1310,посещение,84
1311,СУХИ,84
1312,двуст,84
1313,Ръст-NUM,84
1314,min.RR,84
1315,С.Ч,84
1316,сърдечната,83
1317,предмишница,83
1318,p,83
1319,цвят,83
1320,Явява,83
1321,инекция,83
1322,изкривявания,83
1323,ХЕПАР,83
1324,Болезненост,83
1325,уроб,83
1326,перкутонен,83
1327,клепач,82
1328,ДИСПАНСЕРЕН,82
1329,помощни,82
1330,цикатрикси,82
1331,Общ,82
1332,ПАЛПАЦИЯ,82
1333,аортата,82
1334,Ч.Дроб,82
1335,анамнеза,81
1336,Статус,81
1337,влажна,81
1338,периферна,81
1339,висцеромегалия,81
1340,ЛИГАВИЦИ,81
1341,спок,81
1342,пропагация,81
1343,нормофрекв,81
1344,УВЕЛИЧЕНИ,81
1345,ос,81
1346,опериран,80
1347,колкото,80
1348,бъбрек,80
1349,състоянието,80
1350,мл.жл,80
1351,ЦИКАТРИКС,80
1352,възел,80
1353,Болезнени,80
1354,сочно,80
1355,аномалии,80
1356,ПМТ,80
1357,Психично,80
1358,тазови,80
1359,ОТСЛАБЕНО,80
1360,билатералис,79
1361,тазобедрени,79
1362,изостр,79
1363,Щ.,79
1364,SR-отр,79
1365,ДОЛНИ,79
1366,диспансеризиран,78
1367,нестабилна,78
1368,аритмия,78
1369,психическо,78
1370,ПВ,78
1371,Левостранна,78
1372,палп.болка,78
1373,НАХОДКА,78
1374,хепатоспленомегалия,78
1375,палп.неболезнен,78
1376,бл,78
1377,билирубин,78
1378,ритмичен,78
1379,Ч.ДР,78
1380,зрението,77
1381,ПРЕГЛЕД,77
1382,СЛЕД,77
1383,сливици,77
1384,артериите,77
1385,сетивни,77
1386,S,77
1387,глюкоза,77
1388,Гин,77
1389,мин.ясни,77
1390,ритм.дейност,77
1391,ПОС,77
1392,обр,76
1393,Ориентиран,76
1394,Психически,76
1395,I,76
1396,P,76
1397,НЕВРОЛОГИЧЕН,76
1398,ЗАПАЗЕНИ,76
1399,липсващи,76
1400,ПРОМЕНИ,76
1401,Cor-Ритмична,76
1402,физически,75
1403,бронхоспазъм,75
1404,белодр,75
1405,самоизсл,75
1406,еденични,75
1407,ХС,75
1408,вид.лигавици,75
1409,ЧД,75
1410,белодробните,75
1411,дял,75
1412,Намален,74
1413,ср,74
1414,а.дорзалис,74
1415,Блумберг,74
1416,Обучение,74
1417,цветно,74
1418,палп.небол,74
1419,опорно,74
1420,меко-еласт,74
1421,дифузна,73
1422,лумбален,73
1423,екг,73
1424,bill.Крайници,73
1425,алб,73
1426,succ.ren,73
1427,ПАТОЛОГИЧНИ,73
1428,гръд.кош,73
1429,хирург,72
1430,консултации,72
1431,направление,72
1432,Изразен,72
1433,ри,72
1434,рани,72
1435,средна,72
1436,Физ,72
1437,натиск,72
1438,апсихотичен,72
1439,Пикочо-полова,72
1440,точките,72
1441,Нервно,72
1442,Р.,72
1443,д-т,72
1444,Дих.с-ма,72
1445,ПАЛП.НЕБОЛЕЗНЕН,72
1446,Вибрационна,72
1447,Опериран,71
1448,направена,71
1449,орех,71
1450,уретера,71
1451,Изпраща,71
1452,уретерите,71
1453,слабост,71
1454,самоконтрол,71
1455,отр.ОДА,71
1456,подкожна,71
1457,палп.болезненост,71
1458,ЧЕРЕН,71
1459,венозна,71
1460,шийна,70
1461,гърлото,70
1462,т.,70
1463,Цветоусещане-нормално,70
1464,консулт,70
1465,СЪС,70
1466,коленните,70
1467,мускулен,70
1468,Неврол,70
1469,тургур,70
1470,лумб,70
1471,симптоми,70
1472,ШУМОВЕ,70
1473,смущ,70
1474,година,69
1475,подуване,69
1476,ръката,69
1477,артериална,69
1478,ммол,69
1479,бъде,69
1480,прегледа,69
1481,пълен,69
1482,съм,69
1483,стар,69
1484,белезникав,69
1485,уголемен,69
1486,координация,69
1487,уробилиноген,69
1488,ЕКГ-син.ритъм,69
1489,хиперемирана,69
1490,ВЕЗИК,69
1491,сатус,69
1492,стома,69
1493,ритм.сърд,69
1494,розово,69
1495,Контактна,69
1496,Ляв,69
1497,перкусия,69
1498,п-NUM,69
1499,Отпадна,69
1500,асцит,68
1501,кост,68
1502,конс,68
1503,протокол,68
