,Unnamed: 0,First,Second
1088,1088,НА,НИВО
1092,1092,на,маслина
1115,1115,съвет,за
1125,1125,БЕЗ,ДОБАВЕНА
1126,1126,ДОБАВЕНА,ШУМОВА
1131,1131,СИМЕТРИЧНА,ВИБРАЦИОННА
1132,1132,ВИБРАЦИОННА,НОРМАЛНА
1146,1146,ясни-тонове,без-шум-находка
1154,1154,на,социума
1155,1155,социума,емоции
1179,1179,МОЖЕ,ДА
1203,1203,еластичност,отговарят
1204,1204,отговарят,на
1220,1220,се,измери
1224,1224,магистрални,съдове-има
1225,1225,съдове-има,ОДА
1226,1226,в,основите.
1259,1259,на,миокарда
1261,1261,зоната,на
1262,1262,луксация,на
1264,1264,по,майчина
1265,1265,майчина,линия
1266,1266,на,червата
1273,1273,декларирам,че
1274,1274,остава,на
1275,1275,за,новозаписан
1278,1278,на,лекарствените
1279,1279,лекарствените,продукти
1281,1281,здравословно,състояние
1282,1282,на,вените
1289,1289,без,отоци.
1292,1292,покрита,с
1300,1300,след,изкашляне
1309,1309,за,съдебно
1310,1310,съдебно,медицински
1313,1313,вземащ,участие
1314,1314,от,бюста
1315,1315,бюста,акцентуиран
1319,1319,водена,от
1325,1325,И,ПАСИВНИ
1335,1335,хълбочна,област
1340,1340,гръбначно,изкривяване
1342,1342,патерица,намалена
1343,1343,нервно-психическо,развитие
1349,1349,сетивността,на
1354,1354,с-с-без,данни
1360,1360,по-изразено,в
1369,1369,страдащи,от
1371,1371,ВЛАЖНИ,ХРИП
1372,1372,ХРИП,ИТМ
1375,1375,УПЛЪТНЕН,ПРЪСТА
1396,1396,дроби,слезка
1408,1408,удължено,издишане
1417,1417,основното,заболяване-значително
1418,1418,заболяване-значително,изразени
1426,1426,придърпване,на
1441,1441,равни,на
1443,1443,сит,шум
1448,1448,се,регистрира
1450,1450,рит.сър,дейност
1453,1453,НА,ДОСТЪПНИТЕ
1454,1454,ДОСТЪПНИТЕ,МЕСТА
1455,1455,ЕМОЦИОНАЛНО,ЛАБИЛНА
1463,1463,ОКОЛО,ГЛЕЗЕНИТЕ
1469,1469,телесно,тегло
1474,1474,подребрена,дъга
1487,1487,обратно,развитие
1496,1496,аксиалния,скелет
1503,1503,и,капацитивни
1504,1504,капацитивни,съдове
1506,1506,С,ФРЕКВЕНЦИЯ
1507,1507,ФРЕКВЕНЦИЯ,НОРМАЛНА
1508,1508,изразени,отоци-по
1509,1509,отоци-по,подбедрицата
1520,1520,на,пер.а.а
1521,1521,ВЗЕМАТ,СИМЕТРИЧНО
1522,1522,СИМЕТРИЧНО,УЧАСТИЕ
1525,1525,съответствуващ,на
1546,1546,ЗА,ЛАТЕНТНИ
1560,1560,камертон,рефлексът
1561,1561,рефлексът,на
1562,1562,на,ахилесовото
1563,1563,ахилесовото,сухожилие
1564,1564,бъде,предизвикан
1565,1565,предизвикан,от
1575,1575,СТОЙНОСТИ,НА
1576,1576,известно,време
1578,1578,се,оперира
1579,1579,проведените,изследвания
1580,1580,НЕ,ИСКА
1584,1584,цените,на
1586,1586,от,нервност
1587,1587,нервност,напрегнатост
1588,1588,на,маточната
1589,1589,маточната,шийка
1591,1591,жълти,храчки
1592,1592,вдясно,кашлица-със
1593,1593,кашлица-със,кървави
1594,1594,сърдечно-съдови,заболявания
1595,1595,ПРИ,ОБИЧАЙНИ
1596,1596,ОБИЧАЙНИ,ФИЗИЧЕСКИ
1597,1597,ПРОФИЛАКТИЧЕН,ПРЕГЛЕД
1599,1599,метастаза,в
1600,1600,седалищния,нерв
1601,1601,пода,на
1607,1607,пластика,на
1608,1608,на,поддържащото
1610,1610,главно,в
1612,1612,на,експертно
1613,1613,експертно,решение
1614,1614,на,отпуската
1615,1615,отпуската,по
1624,1624,обилно,потене
1629,1629,в,стандартните
1630,1630,стандартните,отвеждания
1633,1633,жлъчен,мехур
1637,1637,стабилно,общо
1642,1642,за,мъж
1645,1645,помощно,средство-бастун
1646,1646,средство-бастун,ССС
1651,1651,отговарящи,на
1668,1668,НА,РАЖДАЛА
1671,1671,големината,на
1673,1673,добре,конфигуриран
1674,1674,конфигуриран,без
1688,1688,съответни,за
1702,1702,апсихотичен,ориентиране
1703,1703,ориентиране,за
1705,1705,КАСАЕ,СЕ
1708,1708,система-няма,микционни
1709,1709,в,границите
1710,1710,границите,на
1711,1711,по,ръбовете
1718,1718,корекционни,очила
1730,1730,на,местата
1751,1751,резки,покачвания
1754,1754,лющеща,се
1763,1763,хлътване,на
1778,1778,СРЕДНО,УВРЕДЕНО
1789,1789,пулсова,честота
1790,1790,СЪР,ДЕЙНОСТ
1793,1793,НИСЪК,ПЕРИФЕРЕН
1794,1794,ПЕРИФЕРЕН,ВОЛТАЖ
1834,1834,се,наблюдават
1838,1838,и,тонус-запазени
1839,1839,на,кръвообръщението
1869,1869,в,шумовата
1870,1870,шумовата,находка
1872,1872,система-повърхностен,и
1876,1876,на,храносмилателната
1877,1877,храносмилателната,система
1887,1887,ПО,ТИПА
1888,1888,ТИПА,НА
1900,1900,генерализирано,снижени
1907,1907,поведението,емоциите
1908,1908,емоциите,мисленето
1909,1909,мисленето,волята
1910,1910,волята,интелекта
1911,1911,интелекта,вниманието
1912,1912,паметта,влеченията
1913,1913,влеченията,съня
1914,1914,и,съзнанието
1915,1915,съзнанието,КОРЕМ
1916,1916,АЛО,и
1917,1917,и,АВТО
1918,1918,АВТО,ориентиран
1933,1933,и,начина
1934,1934,начина,на
1938,1938,крайниците-запазени,по
1953,1953,лични,причини-документите
1954,1954,причини-документите,се
1957,1957,ПОМЪТНЯВАНИЯ,НА
1958,1958,НА,ЛЕЩАТА
1968,1968,предвижва,се
1983,1983,с-е-без,отклонение
2002,2002,очи-здрави,намалено
2022,2022,с,негова
2023,2023,негова,корекция
2047,2047,се,повлияват
2048,2048,опашната,кост
2049,2049,измерване,на
2051,2051,нарастване,на
2055,2055,половите,органи
2056,2056,ехографско,изследване
2057,2057,В,СЪЩАТА
2058,2058,се,нормализира
2059,2059,нормализира,след
2060,2060,след,взимане
2061,2061,взимане,на
2062,2062,на,временната
2063,2063,временната,нетрудоспособност
2064,2064,генитално,кървене
2065,2065,срок,на
2066,2066,края,на
2070,2070,кървави,храчки-храни
2071,2071,храчки-храни,се
2072,2072,със,течна
2073,2073,течна,храна
2079,2079,започване,на
2080,2080,изключване,на
2082,2082,на,черепа
2083,2083,на,тъпанчето
2085,2085,неубедителни,данни
2088,2088,с,давностна
2089,2089,давностна,АХ
2092,2092,движение,схванатост
2093,2093,безплатна,рецепта
2098,2098,се,по-спокойна
2099,2099,нормализирани,с-ти
2104,2104,и,актуални
2106,2106,ПОЯВА,НА
2108,2108,се,открива
2109,2109,получаване,на
2112,2112,проекционното,място
2134,2134,и,социалния
2135,2135,на,изтласкване
2137,2137,дъга.крайници,без
2144,2144,и,автономни
2145,2145,автономни,прояви
2152,2152,гърда-частична,резекция
2170,2170,се,снеме
2172,2172,царевично,зърно
2181,2181,засегнато,общо
2198,2198,анкетна,карта
2206,2206,тоновете,са
2210,2210,сърдена,дейност
2213,2213,поради,отсъствие
2219,2219,очни,дъна-на
2221,2221,АМПУТАЦИЯ,НА
2228,2228,ГИНЕКОЛОГИЧЕН,СТАТУС
2235,2235,сутрешни,часове
2236,2236,общо,състояния
2239,2239,отчетлива,сърдечна
2241,2241,мек.не,болезнен
2253,2253,в,дихателния
2255,2255,БОЛНИЧНО,ЛЕЧЕНИЕ
2273,2273,едър,тремор
2279,2279,ритъм-предоставено,на
2285,2285,по,скалата
2286,2286,скалата,на
2291,2291,НА,СТЪПАЛА
2298,2298,последни,ребра
2303,2303,и,щит.жлеза.
2304,2304,щит.жлеза.,ЧВД
2310,2310,на,бутончето
2330,2330,ХОРИЗОНТАЛЕН,НИСТАГЪМ
2338,2338,похода,на
2347,2347,на,вале
2356,2356,определяне,на
2387,2387,атрофии,и
2399,2399,заздравява,първично
2402,2402,дъга,отоци-леко
2403,2403,отоци-леко,изразени
2404,2404,на,ретината
2413,2413,изразена,бледност
2420,2420,кожи,и
2421,2421,СТАТИЧНА,АТАКСИЯ
2424,2424,за,диск
2426,2426,В,ЛЕГЛОТО
2427,2427,проекцията,на
2428,2428,дефицит,дължащ
2429,2429,дължащ,се
2447,2447,прибавени,шумове-няма
2450,2450,два,бастуна
2461,2461,ДВЕТЕ,КОЛЕНА
2464,2464,ДВАТА,КРАКА
2506,2506,кожа,чупливи
2507,2507,чупливи,нокти
2508,2508,пер.в,б.о
2531,2531,пукащи,хрипове
2532,2532,БЕЗ,ОБРИВИ
2559,2559,се,определя
2562,2562,мисловно,подредена
2576,2576,ТАЗОВИ,РЕЗЕРВОАРИ
2578,2578,СИМЕТРИЧЕН,ГРАДЕН
2599,2599,сетивно-рефлекторен,полиневритен
2601,2601,диалог,поради
2609,2609,психични,проблеми-тревожност
2610,2610,проблеми-тревожност,фобии
2611,2611,се,визуализираха
2621,2621,с,правилата
2622,2622,правилата,за
2646,2646,ХОРИЗОНТ,ПОЗИЦИЯ
